  234  AALBORG RDAF                  EKYT  HJORRING, DENMARK             5705360000950540}000100  
  235  FINDEL/LUXEMBOURG             ELLX  LUXEMBOURG, LUXEMBOURG        4937480000612480}012340  
  236  VIGRA                         ENAL  ALESUND, NORWAY               6233420000606480}000710  
  237  ANDOYA(ANDENES) ANOAF         ENAN  ANDOYA(ANDENES), NORWAY       6917360001608360}000460  
  238  ALTA                          ENAT  ALTA, NORWAY                  6958360002322180}000100  
  239  BRINGELAND                    ENBL  FORDE, NORWAY                 6123360000545540}010450  
  240  BROENNOEY                     ENBN  BRONNOYSUND, NORWAY           6527420001213120}000280  
  241  BODO RNOAF                    ENBO  BODO, NORWAY                  6716120001422180}000420  
  242  FLESLAND                      ENBR  BERGEN, NORWAY                6017360000513060}001650  
  243  BATSFJORD                     ENBS  BATSFJORD, NORWAY             7036000002939300}001330  
  244  BERLEVAG                      ENBV  BERLEVAG, NORWAY              7052180002902060}000430  
  245  KJEVIK                        ENCN  KRISTIANSAND, NORWAY          5812180000805120}000570  
  246  DAGALI                        ENDI  DAGALI, NORWAY                6025060000830420}026170  
  247  DAGALI                        ENDI  GEILO, NORWAY                 6025060000830420}026170  
  248  BARDUFOSS RNOAF               ENDU  BARDUFOSS, NORWAY             6903240001832180}002600  
  249  EVENES RNOAF                  ENEV  EVENES/HARSTAD, NORWAY        6829300001640420}000850  
  250  HARSTAD-NARVIK LUFTHAVN       ENEV  HARSTAD/EVENES, NORWAY        6829300001640420}000850  
  251  FORNEBU                       ENFB  OSLO, NORWAY                  5953420001037060}000540  
  252  LEIRIN                        ENFG  FAGERNES, NORWAY              6100300000918000}026970  
  253  FLORO                         ENFL  FLORO, NORWAY                 6135060000501360}000310  
  254  GARDERMOEN                    ENGM  OSLO, NORWAY                  6012120001105000}006720  
  255  STAFSBERG                     ENHA  HAMAR, NORWAY                 6049060001104120}007300  
  256  KARMOY                        ENHD  HAUGESUND, NORWAY             5920480000512360}000770  
  257  HAMMERFEST                    ENHF  HAMMERFEST, NORWAY            7040480002340120}002660  
  258  HASVIK                        ENHK  HASVIK, NORWAY                7029120002208240}000250  
  259  VALAN                         ENHV  HONNINGSVAG, NORWAY           7100360002559000}000460  
  260  KVERNBERGET                   ENKB  KRISTIANSUND, NORWAY          6306420000749360}002040  
  261  KJELLER                       ENKJ  KJELLER, NORWAY               5958120001102240}003480  
  262  HOYBUKTMOEN                   ENKR  KIRKENES, NORWAY              6943360002953360}002990  
  263  LISTA(FARSUND) RNOAF          ENLI  LISTA, NORWAY                 5806000000637300}000320  
  264  LEKNES                        ENLK  LEKNES, NORWAY                6809120001336420}000860  
  265  MEHAMN                        ENMH  MEHAMN, NORWAY                7101480002749420}000410  
  266  ARO                           ENML  MOLDE, NORWAY                 6244420000716240}000100  
  267  KJAERSTAD                     ENMS  MOSJOEN, NORWAY               6547000001313000}002360  
  268  BANAK(LAKSELV) RNOAF          ENNA  KARASJOK, NORWAY              7004000002458300}000250  
  269  BANAK(LAKSELV) RNOAF          ENNA  LAKSELV, NORWAY               7004000002458300}000250  
  270  FRAMNES                       ENNK  NARVIK, NORWAY                6826120001723180}000970  
  271  NAMSOS                        ENNM  NAMSOS, NORWAY                6428240001134480}000070  
  272  NOTODDEN                      ENNO  NOTODDEN, NORWAY              5933480000913060}000600  
  273  ORLAND                        ENOL  ORLAND, NORWAY                6342000000936120}000300  
  274  HOVDEN                        ENOV  ORSTA-VOLDA, NORWAY           6210480000604240}002430  
  275  ROSSVOLL                      ENRA  MO I RANA, NORWAY             6621480001418120}002280  
  276  RYUM                          ENRM  RORVIK, NORWAY                6450180001108540}000140  
  277  ROROS                         ENRO  ROROS, NORWAY                 6234480001120480}020540  
  278  ROST                          ENRS  ROST, NORWAY                  6731420001206180}000120  
  279  RYGGE RNOAF                   ENRY  RYGGE, NORWAY                 5922480001047060}001730  
  280  SVALBARD/LONGYEAR             ENSB  SVALBARD/LONGYEAR, SVALBARD   7814420001528240}000940  
  281  SVALBARD/LONGYEAR             ENSB  LONGYEARBYEN, NORWAY          7814420001528240}000940  
  282  ANDA                          ENSD  SANDANE, NORWAY               6149480000606360}001960  
  283  HAUKASEN                      ENSG  SOGNDAL, NORWAY               6109240000708240}016320  
  284  HELLE                         ENSH  SVOLVAER, NORWAY              6814360001440120}000300  
  285  SKAGEN                        ENSK  STOKMARKNES, NORWAY           6834540001501240}000110  
  286  GEITERYGGEN                   ENSN  SKIEN, NORWAY                 5910540000933540}004630  
  287  SOERSTOKKEN                   ENSO  STORD, NORWAY                 5947360000520300}001600  
  288  SORKJOSEN                     ENSR  SORKJOSEN, NORWAY             6947120002057420}000190  
  289  SVARTNES                      ENSS  VARDO, NORWAY                 7021180003102420}000400  
  290  STOKKA                        ENST  SANDNESSJOEN, NORWAY          6557360001228180}000540  
  291  TROMSO                        ENTC  TROMSO, NORWAY                6940540001855240}000290  
  292  LANGNES                       ENTC  TROMSO, NORWAY                6940540001855240}000290  
  293  TORP                          ENTO  SANDEFJORD, NORWAY            5911120001015300}002850  
  294  TORP                          ENTO  TORP, NORWAY                  5911120001015300}002850  
  295  TRONDHEIM                     ENVA  VAERNES, NORWAY               6327300001056240}000550  
  296  VADSO                         ENVD  VADSO, NORWAY                 7003540002950420}001270  
  297  SOLA                          ENZV  STAVANGER, NORWAY             5852360000538180}000290  
  298  REBIECHOWO                    EPGD  GDANSK, POLAND                5422360001828000}004880  
  299  BALICE                        EPKK  KRAKOW, POLAND                5004360001947060}007910  
  300  MUCHOWIEC                     EPKM  KATOWICE, POLAND              5014180001902060}009090  
  301  PYRZOWICE                     EPKT  KATOWICE, POLAND              5028240001904480}009950  
  302  LUBLINEK                      EPLL  LODZ, POLAND                  5143180001923540}006040  
  303  LUBIN                         EPLU  LUBIN, POLAND                 5125240001611480}005120  
  304  MIELEC                        EPML  MIELEC, POLAND                5019180002127480}005480  
  305  LAWICA                        EPPO  POZNAN, POLAND                5225180001649420}003080  
  306  JASIONKA                      EPRZ  RZESZOW, POLAND               5006360002201120}006920  
  307  GOLENIOW                      EPSC  SZCZECIN, POLAND              5335060001454120}001540  
  308  TORUN                         EPTO  GRUDZIADZ, POLAND             5301480001832540}001640  
  309  OKECIE                        EPWA  WARSZAWA/WARSAW, POLAND       5210000002058060}003620  
  310  OKECIE                        EPWA  WARSAW/WARSZAWA, POLAND       5210000002058060}003620  
  311  STRACHOWICE                   EPWR  WROCLAW, POLAND               5106120001653120}004040  
  312  BABIMOST                      EPZG  ZIELONA GORA, POLAND          5208120001547540}001940  
  313  UPPSALA                       ESCM  UPPSALA, SWEDEN               5954000001735420}000690  
  314  ANGELHOLM SWAF                ESDB  HELSINGBORD, SWEDEN           5617420001250540}000680  
  315  KALLINGE/RONNEBY              ESDF  RONNEBY, SWEDEN               5616000001516000}001910  
  316  LANDVETTER                    ESGG  GOTEBORG, SWEDEN              5739540001216480}005060  
